row_no,award_id,oi_name,host_organization,grant_title,grant_description,recipient,award_supercat,award_cat
11,,"[""arXiv""]","[""Cornell University""]",,arXiv operating grant,Cornell University,DIRECT,OPERATIONS
12,2005784,"[""Creative Commons Licenses""]","[""Creative Commons (independent 501(c)3)""]",Empowering Informal Educators to Prepare Future Generations in Wireless Radio Communications with Mobile Resources,"Wireless radio communications, such as Wi-Fi, transmit public and private data from one device to another, including cell phones, computers, medical equipment, satellites, space rockets, and air traffic control. Despite their critical role and prevalence, many people are unfamiliar with radio waves, how they are generated and interact with their surroundings, and why they are the basis of modern communication and navigation. This topic is not only increasingly relevant to the technological lives of today’s youth and public, it is critical to the National Science Foundation’s Industries of the Future activities, particularly in advancing wireless education and workforce development. In this project, STEM professionals from academia, industry and informal education will join forces to design, evaluate, and launch digital apps, a craft-based toolkit, activity guides, and mobile online professional learning, all of which will be easily accessed and flexibly adapted by informal educators to engage youth and the public about radio frequency communications. Experiences will include embodied activities, such as physically linking arms to create and explore longitudinal and transverse waves; mobile experiences, such as augmented reality explorations of Wi-Fi signals or collaborative signal jamming simulations; and technological exploration, such as sending and receiving encrypted messages. &lt;br/&gt;&lt;br/&gt;The Concord Consortium, Georgia Tech, and the Children’s Creativity Museum (CCM) with National Informal STEM Education Network (NISE Net) museum partners will create pedagogical activity designs, digital apps, and a mobile online professional learning platform. The project features a rigorous and multipronged research and development approach that builds on prior learning sciences studies to advance a learning design framework for nimble, mobile informal education, while incorporating the best aspects of hands-on learning. This project is testing two related hypotheses: 1) a mobile strategy can be effective for supporting just-in-time informal education of a highly technical, scientific topic, and 2) a mobile suite of resources, including professional learning, can be used to teach informal educators, youth, and the general public about radio frequency communications. Data sources include pre- and post- surveys, interviews, and focus groups with a wide array of educators and learners. &lt;br/&gt;&lt;br/&gt;A front-end study will identify gaps in public understanding and perceptions specific to radio frequency communications, and serve as a baseline for components of the summative research. Iterative formative evaluation will incorporate participatory co-design processes with youth and informal educators. These processes will support materials that are age-appropriate and culturally responsive to not only youth, with an emphasis on Latinx youth, but also informal educators and the broader public. Summative evaluation will examine the impact of the mobile suite of resources on informal educators’ learning, facilitation confidence and intentions to continue to incorporate the project resources into their practice. The preparation of educators in supporting public understanding of highly technological STEM topics can be an effective way for supporting just-in-time public engagement and interests in related careers. Data from youth and museum visitors will examine changes to interest, science self-efficacy, content knowledge, and STEM-related career interest. If successful, this design approach may influence how mobile resources are designed and organized effectively to impact future informal education on similarly important technology-rich topics. All materials will be released under Creative Commons licenses allowing for widespread sharing and remixing; research and design findings will be published in academic, industry, and practitioner journals.&lt;br/&gt;&lt;br/&gt;This project is co-funded by two NSF programs: The Advancing Informal STEM Learning program, which seeks to advance new approaches to, and evidence-based understanding of, the design and development of STEM learning in informal environments. This includes providing multiple pathways for broadening access to and engagement in STEM learning experiences, advancing innovative research on and assessment of STEM learning in informal environments, and developing understandings of deeper learning by participants. The Innovative Technology Experiences for Students and Teachers (ITEST) program, which supports projects that build understandings of practices, program elements, contexts and processes contributing to increasing students' knowledge and interest in science, technology, engineering, and mathematics (STEM) and information and communication technology (ICT) careers.&lt;br/&gt;&lt;br/&gt;This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",Concord Consortium,ADJACENT,ADJACENT
13,2101925,"[""arXiv""]","[""Cornell University""]",RUI: Arboreal Galois Groups and Nonarchimedean Dynamics,"This project concerns certain open questions in arithmetic dynamics, a field bridging number theory and dynamical systems. While the number-theoretic study of rational numbers and polynomial equations lies far from the chaos and fractals that arise in the study of dynamics, the two are tied together in this setting by p-adic dynamics. In addition, the PI will supervise undergraduate students in an REU summer research project to bolster their mathematical training. Any computational data produced in the REU will be published or posted on the web, for the benefit of the larger research community. Results from the project will also be disseminated via websites such as arXiv and via publication in mathematical journals.&lt;br/&gt;&lt;br/&gt;The specific questions to be studied arise in two areas within arithmetic dynamics: first, the action of Galois groups on dynamical orbits, and second, moduli spaces of nonarchimedean dynamical systems. On the Galois side, certain p-adic dynamical features are essential to exhibiting enough Galois automorphisms to generate the complicated Galois groups in question. On the moduli space side, nonarchimedean dynamics has evolved into an established field of research, but relatively little is currently known about one-parameter families of nonarchimedean dynamical systems. The project will focus on dynamics on the Berkovich projective line, the appropriate space on which one-variable nonarchimedean systems act. The problems to be explored are new areas that are continuations of rich theories with long histories in dynamics, Galois theory, and nonarchimedean analysis. In particular, the first topic promises to provide new dynamical tools for addressing the study of absolute Galois groups, while the second promises new approaches to moduli problems in arithmetic dynamical systems.&lt;br/&gt;&lt;br/&gt;This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",Amherst College,ADJACENT,ADJACENT
14,,"[""Open Science Framework (OSF)""]","[""Center for Open Science (501(c)(3) nonprofit)""]",For A Planning Grant Supporting Greater Participation Of African Scholars In Research Transparency,"The Center for Open Science (COS) seeks to promote openness, integrity and reproducibility of research. It offers free, open source products and services that support the research life cycle and improve the reproducibility of research findings. Current efforts in the area of research transparency have focused on Western researchers. African scholars are being increasingly left behind as they are not being exposed to new best practices.This project would provide a planning grant for COS to test approaches for bringing their services to African researchers. COS will pilot three interventions and use the results from these pilots and input from its advisory board to develop a strategic plan for expanding their services to Africa.",Center for Open Science,DIRECT,RESEARCH & DEVELOPMENT
15,,"[""Open Journal Systems (OJS)""]","[""Simon Fraser University""]",Public knowledge project,information technology; post-secondary education and research; communication; literacy,University of British Columbia,UNKNOWN,UNKNOWN
16,imls:log_number::APP-246083-OLS-20,"[""Omeka""]","[""Corporation for Digital Scholarship""]",,"Moore Free Library Association will engage the neighboring towns of Newfane and Brookline to collect local residents' stories in response to the community identifying the need to collect and share community stories. This project will inform the two communities' shared narrative and build connections among the 2,100+ individuals that reside in the towns. Stories will be archived, indexed using open source tool Omeka, and made accessible through the Library's new website. Moore Free Library will collaborate with the Historical Society of Windham County, Senior Solutions and Brattleboro Area Hospice, Vermont Folklife Center, and a corps of dedicated volunteers.",Moore Free Library Association,ADJACENT,ADJACENT
17,chanzuckerberg::0061K00000f965KQAQ,"[""medrXiv""]","[""openRxiv""]",,"to scale the growth and curation processes of medRxiv, the preprint server for health sciences",Cold Spring Harbor Laboratory,DIRECT,RESEARCH & DEVELOPMENT
18,,"[""arXiv""]","[""Cornell University""]",,arXiv operating grant,Cornell University,DIRECT,OPERATIONS
19,erasmusplus_::0d4b064a7463c6f7a7770a8decebdd08,"[""Creative Commons Licenses""]","[""Creative Commons (independent 501(c)3)""]",Educational spaces 21. Open up! Przestrzenie Edukacji 21. Otwieramy szkoÅ‚Ä™!,"The goal of the project Educational spaces 21. Open up! is to help schools modernize their learning and teaching spaces, in order to better fit the needs and challenges of XXI century education. Most Polish and European schools are using a traditional school model which often hinders the studentâ€™s learning progress.Therefore, within the projectâ€™s framework an international team of experts (from Germany, Sweden and Poland) will elaborate a set of educational materials: three guides concerning opening spaces in three crucial areas: architecture (design, user experience, infrastructure), technology (teaching and learning online, ICT use), and social (the school community, the local community, connecting with the world); as well as a set of online and on-site training materials for educators. A previous detailed research conducted in all participating counties will help to identify key problems of the educational environment and focus on finding and describing best solutions.Next, a group of expert-schools will apply and test the given solutions and elaborate a set of good practices for other practitioners on how to introduce the changes effectively and wisely.All intellectual outputs of the project will be widely disseminated in all participating countries, under Creative Commons Licenses, both in the printed and online version. The outputs will be distributed in four language versions: German, Swedish, Polish and English which will allow to benefit from the project not only schools from participating countries but also from the whole EU.The CC licenses and the wide dissemination of the outputs will help school directors, teachers, local authorities, students and parents to use and adapt all the proposed solutions, create their own strategies of modernization, and to open schools even more for the challenges of the modern world.","[Rektorsakademien Utveckling  AB,Gesellschaft zur FÃ¶rderung des Hanseatic Institute for Entrepreneurship and Regional Development an der UniversitÃ¤t Rostock e.V.,Fundacja Rozwoju Spoleczenstwa Wiedzy Think!,FUNDACJA CENTRUM EDUKACJI OBYWATELSKIEJ]",ADJACENT,ADJACENT
20,,"[""Zenodo""]","[""CERN""]",,,CERN,DIRECT,OTHER
21,1137208,"[""Creative Commons Licenses""]","[""Creative Commons (independent 501(c)3)""]",Workshop on Research and Resource Commons in Scientific Research,"A research or resource commons requires agreement among providers or participants about its legal structure, the technical requirements for common resources, and a shared understanding about how to sustain the commons. Legal issues, usually involving intellectual property or contract law, often arise as researchers, or research funders, seek to build commons or commons-based tools, such as Creative Commons licenses.  There are three major objectives for the workshop to be held at American University.  First, the attendees will review lessons learned from those who have worked to build or to promote the use of commons structures to support scientific research from within the federal government and from the private sector, including the non-profit sector.  Next, the members will identify the legal, technical, and cultural requirements for a successful commons, with a particular focus on scientific data. The key themes will be the respective roles of standardization and interoperability at the legal and technical levels necessary for resources to be shared in a commons, whether those resources are literature, data, physical inputs, or others.  Third,  they will discuss how the federal government, the university and non-profit sector, and industry can best work together to support existing successful resource commons in science and to create new commons or commons-based tools to improve the speed and efficiency of publicly funded scientific research. Attention will be given to how existing commons standards, such as legal and technical tools supplied by Creative Commons, are currently being used in the sciences and how these might be made more useful with respect to emergent forms of scientific communication.  The report of the workshop and all case studies developed will be made publicly available and published on the Internet.",American University,ADJACENT,ADJACENT
22,2004815,"[""Archival Resource Key (ARK)"",""International Generic Sample Number (IGSN)""]","[null, ""DataCite""]",Collaborative Research:  Frameworks: Internet of Samples: Toward an Interdisciplinary Cyberinfrastructure for Material Samples,"Research frequently uses material samples as a basic element for reference, study, and experimentation in many scientific disciplines, especially in the natural and environmental sciences, material sciences, agriculture, physical anthropology, archaeology, and biomedicine. Observations made on samples collected in the field and in the laboratory constitute a critical data resource for research that addresses grand challenges of our planet's future sustainability, from environmental change; to food, energy, and water resources; to natural hazards and their mitigation; to public health. The large investments of public funds being made to curate huge volumes of samples acquired over decades or even centuries, and to collect and analyze new samples, demand that these samples be openly accessible, easily discoverable, and documented with sufficient information to make them reusable. The current ecosystem of sample and sample data management in the U.S. and globally is highly fragmented across stakeholders, including museums, federal agencies, academic institutions, and individual researchers, with a multitude of institutional and discipline-specific catalogs, practices for sample identification, and protocols for describing samples. The iSamples project is a multi-disciplinary collaboration that will develop a national digital infrastructure to provide services for globally unique, consistent, and convenient identification of material samples; metadata about them; and linking them to other samples, derived data, and research results published in the literature. iSamples builds on previous initiatives to achieve these goals by providing material samples with globally unique, persistent identifiers that reliably link to landing pages with metadata describing the sample and its provenance, and which allow unambiguously linking samples with data and publications. Leveraging significant national investments, iSamples provides the missing link among (i) physical collections (e.g., natural history museums, herbaria, biobanks), (ii) field stations, marine laboratories, long-term ecological research sites, and observatories, and (iii) data repositories and cyberinfrastructure. iSamples delivers enhanced infrastructure for STEM research and education, decision-makers, and the general public. iSamples benefits national security and resource management by offering a means to assure sample provenance, improving scientific reproducibility and demonstrating compliance with ethical standards, national regulations, and international treaties.&lt;br/&gt;&lt;br/&gt;The Internet of Samples (iSamples) is a multi-disciplinary and multi-institutional project to design, develop, and promote service infrastructure to uniquely, consistently, and conveniently identify material samples, record metadata about them, and persistently link them to other samples and derived digital content, including images, data, and publications. The project will create a flexible and scalable architecture to ensure broad adoption and implementation by diverse stakeholders. iSamples will build upon existing identifier infrastructure such as IGSNs (Global Sample Number;) and ARKs (Archival Resource Keys), but is agnostic to identifier type. Likewise, iSamples will encourage a high-level metadata standard for natural history samples (across biosciences, geosciences, and archaeology), while supporting community-developed metadata standards in specialist domains. Through integration with established discipline-specific infrastructure at the System for Earth Sample Registration SESAR (geoscience), CyVerse (bioscience), and Open Context (archaeology), iSamples will extend existing capabilities, enhance consistency, and expand their reach to serve science and society much more broadly. The project includes three main objectives: 1) Design and develop iSamples infrastructure (iSamples in a Box and iSamples Central); 2) Build four initial implementations of iSamples for adoption and use case testing (Open Context, GEOME, SESAR, and Smithsonian Institution); and 3) Conduct outreach and community engagement to developers, individual researchers, and international organizations concerned with material samples. The project will follow an agile development process that includes community engagement as an important element of creating software requirements and an implementation timeline.&lt;br/&gt;&lt;br/&gt;This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",University of Kansas Center for Research Inc,ADJACENT,ADJACENT
23,,"[""Open Science Framework (OSF)""]","[""Center for Open Science (501(c)(3) nonprofit)""]",,To encourage preregistration of scientific studies by offering monetary awards to selected researchers who publish studies that have been preregistered on the Open Science Framework.,Center for Open Science,DIRECT,OTHER
24,OT2DB000005,"[""Dryad""]","[""Dryad (independent 501(c)3)""]",,DRYAD AND THE GENERALIST REPOSITORY ECOSYSTEM INITIATIVE (GREI) - NO TEXT,[DRYAD],DIRECT,RESEARCH & DEVELOPMENT
25,imls:log_number::LG-70-16-0047-16,"[""Omeka""]","[""Corporation for Digital Scholarship""]",,"The State of New Mexico's Museum of Indian Arts and Culture, in collaboration with the New Mexico State Library Tribal Libraries Program and the Indian Pueblo Cultural Center, will create tools to extend the capacities of Omeka-S, a widely-used open source content management system. The suite of architectural and interactive features will include the translation of images stored in Omeka-S to the International Image Interoperability Format (IIIF), and enhanced tools for user tagging and annotations. Code for the tools will be shared openly on GitHub and with the Omeka-S community. The project will also result in the development of a model use case, demonstrating the technical and community impacts of the tools. A fellowship program will support the participation of individuals from New Mexico's Native communities in the development of the model use case.",Museum of New Mexico Foundation,ADJACENT,ADJACENT
26,knight_foundation::398661,"[""Omeka""]","[""Corporation for Digital Scholarship""]",Relationship Builder for Omeka,To make the collections of local libraries more accessible through the creation of library software that reveals connections between digitized images and articles.,Southwest Harbor Public Library,ADJACENT,ADJACENT
27,1933812,"[""Dryad""]","[""Dryad (independent 501(c)3)""]","Enabling the Access, Publishing, and Preservation of Curated Research Data at Dryad","The Dryad Digital Repository (datadryad.org) is a popular general purpose repository for datasets predominantly, though not exclusively, from the biosciences. Since 2009, Dryad has published 28,000 research datasets that represent over 900 academic journals. By curating data from a broad diversity of scientific studies, quality research data are now available around the world. Dryad's open licensing of published research data promotes discover-ability and access of research findings, which enables the reuse and reproducibility of an ever-increasing collection of diverse and high-quality data to advance research and education. Datasets in Dryad are indexed for easy discovery, freely reusable, and cite-able. Dryad has been broadly adopted by the biological community with more than 3 million downloads. The data packages submitted to Dryad are diverse in format and scientific content. Two key distinguishing features of Dryad are: the ease with which researchers can deposit their datasets through the integrations Dryad has with over 140 journals, and the curation applied across all submitted datasets in accordance with the FAIR principles for data repositories (Findable, Accessible, Interoperable, and Reusable). However, the reach and impact of Dryad goes far beyond the set of journals that have direct integrations. Over the past 10 years, Dryad has allowed hundreds of journals to give their data policies teeth and 96,000 researchers a resource for funder and publisher mandate compliance. &lt;br/&gt;&lt;br/&gt;Dryad is a membership-based 501c3 non-profit and membership-led organization that provides transparent governance by the community of stakeholders (including scientific societies, publishers, institutions, and others) to ensure the continued free availability of the research data entrusted to it. Dryad is working in partnership with California Digital Library to build wider institutional support and a more robust longevity plan. This project will provide limited support for the curation, preservation, and access of research data at Dryad, with the goal of Dryad becoming a self sustaining service. With this support, Dryad is on track to reach sustainability within three years at which the operational costs of running the organization are fully funded by Data Publishing Charges and membership fees. The Dryad Digital Repository may be accessed at https://datadryad.org.&lt;br/&gt;&lt;br/&gt;This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.","University of California, Office of the President, Oakland",DIRECT,OPERATIONS
